Adres;PC;Huisnummer;Toevoeging;Wijk;Aannemer;Contactpersoon;Datum_aanvraag;Soort;nb_hoogte
Gerard Doustraat;6915 FC;65;C;Bokkenbuurt;Proper Aannemersbedrijf B.V.;P. Willems;22/03/2020;Stal;28,8
Paarlstraat;4442 SN;108;;Sterrenwijk;Bouw- Aannemersbedrijf Hako Bouw;S. van Vliet;22/07/2017;Dakkapel;9,6
Blauwkapelscheweg;9551 IY;34;;Bedrijventerrein Lageweide;Bouw- en Handelsmij Van Wingerden B.V.;G. Schipper;27/07/2016;Boomkap;25,6
Justus van Effenstraat;4149 DB;25;;Lunetten-Zuid;van Bouwbedrijf Geresteijn;C. Postma;09/04/2019;Boomkap;19,2
Mariaplaats;9557 ML;22;;Transwijk-Noord;Bouwbedrijf Lok;S. van den Velde;25/11/2017;Nieuwbouw;12,8
Tiendstraat;2811 QH;95;;Rivierenwijk;De Leeuw B.V.;E. van de Veen;20/12/2017;Boomkap;35,2
Ledig Erf;4851 IY;16;B;Ondiep;Bouwbedrijf WESTLAND constructions BV;E. Kuypers;10/11/2017;Schuur;16
Haagstraat;5131 VB;26;;Nieuw Hoograven;Vosbouw Vroomshoop B.V.;Z. van der Horst;18/10/2015;Stal;12,8
Zakkendragersteeg;4967 UL;59;D;Bloemenbuurt;Aannemingsbedrijf Project Rotterdam B.V.;P. van de Veen;11/11/2015;Verwijderen stal;22,4
Elisabethsteeg;3402 RG;26;;Lunetten-Noord;Aannemersbedrijf Jannes Blomberg;U. de Jonge;28/02/2019;Gevelrenovatie;28,8
Alphenplein (van);9481 DI;58;;Hogeweide;Composiet Prefab Bouw;F. van der Velden;15/04/2017;Aanbouw;9,6
Bladstraat;4146 XD;96;;Watervogelbuurt;vof de Bouwmaat;V. de Bruin;04/04/2017;Nieuwbouw;25,6
Koningslaan;8133 YO;101;;Hogeweide;Gerwers;D. van der Berg;24/01/2019;Schuur;25,6
Daelstraat;8199 MF;47;;Transwijk-Zuid;Het Charles Maakt;L. Martens;19/07/2016;Aanbouw;25,6
Visschersplein;2937 NN;54;D;Tuinwijk-Oost;vd Bouwbedrijf Fliert B.V.;P. Driessen;02/04/2016;Verwijderen stal;12,8
Mariahoek;5443 QD;92;;Tuinwijk-West;Bouwbedrijf Krijger BV;K. de Vos;31/05/2017;Nieuwbouw;16
Leeuwstraat;5663 FW;114;A;Sterrenwijk;Martens Aannemingsbedrijf B.V.;X. Mulder;03/04/2016;Dakkapel;28,8
Nobelstraat;9329 KD;45;;Schildersbuurt;Bouw- Aannemersbedrijf Hako Bouw;H. Maas;31/07/2016;Dakkapel;16
Westerdijk;1677 ZB;25;D;Lunetten-Noord;aannemersbedrijf pinckers;W. Bosman;06/12/2015;Schuur;35,2
Hulststraat;2674 XB;109;;Lunetten-Noord;SHP Bouwbedrijven;W. Koster;25/03/2019;Aanbouw;25,6
Horstdijk;9260 HO;63;;Buurtnaam;Concept Wonen;B. Martens;17/01/2020;Gevelrenovatie;38,4
Kweekstraat;2828 WQ;57;C;Transwijk-Noord;Kramer's Bouwbedrijf B.V.;V. van Wijk;11/01/2020;Aanbouw;32
Takstraat;5151 US;93;;Buurtnaam;Bakels en Ouwerkerk Bouwgroep;R. van der Laan;22/02/2018;Aanbouw;35,2
Hertestraat;5404 SH;27;;Tweede Daalsebuurt en omgeving;Klaassen Bouwmaatschappij Dinxperlo B.V.;D. Boer;10/05/2016;Nieuwbouw;28,8
Hanengeschrei;9184 KR;144;D;Bloemenbuurt;A Huurdeman Bouwbedrijf B.V.;C. Vink;06/09/2018;Boomkap;12,8
Braamstraat;8963 YN;25;;Transwijk-Noord;Warmes Aannemersbedrijf B.V.;E. Scholten;16/01/2015;Aanbouw;12,8
M.A. de Ruijterstraat;6391 JD;108;C;Langerak;Lieftink Geveltechniek BV;K. van de Meer;19/01/2020;Dakkapel;9,6
Stationsdwarsstraat;3140 XS;89;B;Rivierenwijk;Verkammen Aannemers- en Timmerbedrijf W;M. Postma;11/05/2015;Aanbouw;35,2
Heemskerkstraat;9694 YM;137;;Bokkenbuurt;ptc-opleidingen;C. Smits;18/07/2016;Dakkapel;16
Oosterbuurt;3037 NL;47;C;Terwijde;Dekker Bouw- en Timmerbedrijf H;I. Hoekstra;16/09/2019;Schuur;6,4
Jansdam;7081 LK;72;;Tuindorp-Oost;Hecon Bouwgroep;W. van Leeuwen;15/12/2018;Stal;6,4
Covelsteeg;3413 ZN;112;;Hogeweide;Steta Bouw en Interieur op maat bv;G. Koning;08/02/2019;Gevelrenovatie;16
Corn. Evertsenstraat;7910 RT;81;;Geuzenwijk;Klussenbedrijf Veran;T. Smit;21/03/2018;Aanbouw;6,4
Concordiastraat;9421 OL;115;B;Zuilen-Noord;Spreen & Zn Fa B;P. Jonker;04/03/2018;Nieuwbouw;12,8
Zandhofschestraat;1959 IW;6;A;Kanaleneiland-Zuid;HABO GWW B.V.;J. van den Velde;14/09/2015;Aanbouw;19,2
Jacobssteeg;6011 BB;84;;Bokkenbuurt;Vervobouw;U. van de Brink;16/12/2019;Gevelrenovatie;25,6
Kleine Tuinstraat;8564 UC;108;A;Bedrijvengebied Overvecht;Leenman Bouw B.V.;H. van de Ven;22/08/2018;Dakkapel;6,4
Lange Smeestraat;8586 UH;54;;Ondiep;Slim Bouwen Assen;G. Visser;13/09/2019;Boomkap;38,4
Korte Nieuwstraat;9692 UO;62;;Lombok-West;G-vloeren Gietvloeren;X. Scholten;16/01/2016;Nieuwbouw;22,4
Jeruzalemsteeg;2826 QT;73;;Rivierenwijk;Fokker-Oomen B.V.;R. Prins;25/01/2020;Nieuwbouw;38,4
Massegast;7854 PS;75;;Lombok-West;Klein Gunnewiek Bouwbedrijf;C. Smit;02/11/2016;Aanbouw;38,4
Gasthuissteeg;7787 DD;105;A;Pijlsweerd-Noord;Aannemersbedrijf A J H Zwart B.V.;D. Veenstra;21/06/2019;Nieuwbouw;32
Kleine Lijnpad 1e;7581 QM;87;A;Bedrijvengebied Overvecht;Fischer Aannemingsbedrijf;I. Timmermans;28/08/2016;Schuur;25,6
Zonstraat;9824 YT;120;;Bedrijventerrein Lageweide;Minibouw;L. Blom;18/06/2017;Aanbouw;6,4
Beekstraat;2965 BS;63;;Bloemenbuurt;Aannemingsbedrijf Stijkel Bouw B.V.;F. Brouwer;08/06/2015;Verwijderen stal;28,8
Graanstraat;5002 XM;150;;Dichterswijk;Bouwbedrijf Barten B.V.;K. de Haan;15/03/2020;Aanbouw;25,6
Runnebaan;6681 UX;53;;Transwijk-Zuid;Spreen & Zn Fa B;A. Scholten;01/09/2018;Stal;32
Laan van Chartroise;3659 UU;64;;Tuinwijk-West;Bouwonderneming Kuiper Blijham B.V.;P. van der Wal;23/07/2017;Dakkapel;38,4
Jacobskerksteeg;6750 MV;129;;Staatsliedenbuurt;F.W. Onrust Vastgoedonderhoud;U. van de Velden;10/01/2016;Schuur;6,4
Mariaplaats;6255 ZS;22;D;Rivierenwijk;De Wit-Besseling B.V.;W. Evers;25/11/2017;Boomkap;25,6
Bijlhouwerstraat;9639 GX;67;;Bokkenbuurt;Bouwonderneming Jager B.V.;L. Blom;20/01/2020;Stal;6,4
Sterrenhof;3492 NU;113;;Molenbuurt;Bestratingen J de Bie B.V.;H. Post;16/03/2015;Stal;28,8
Zwaansteeg;2459 TC;145;;Strijkviertel;Ura B.V.;X. van der Heijden;07/03/2017;Boomkap;6,4
Schoutenstraat;8034 SC;54;A;Lombok-Oost;C J vd Noort & Zn B.V.;A. van Beek;26/05/2017;Boomkap;22,4
Gansstraat;6723 OA;137;B;Ondiep;Bavro B.V.;W. Maas;20/12/2019;Stal;35,2
Muntsteeg;9068 MW;15;C;Bedrijvengebied Overvecht;Sinnige Bouw B.V.;H. Jansen;11/07/2016;Aanbouw;6,4
Runnebaan;1742 RW;135;D;Strijkviertel;Bouwbedrijf Krijger BV;X. de Vos;31/05/2018;Boomkap;35,2
Minkade;2598 BP;115;;Staatsliedenbuurt;Broens Bouwbedrijf;P. Blom;28/06/2017;Gevelrenovatie;12,8
Wilhelmina Park;5377 FI;87;B;Geuzenwijk;Bouwservice ijmond v.o.f;G. de Haan;30/10/2015;Nieuwbouw;19,2
Boorstraat;9861 VP;149;C;Bokkenbuurt;J.Verschoor Bouw B.V.;P. van Dam;17/07/2016;Boomkap;12,8
Wed;5534 HE;74;;Bloemenbuurt;Folders - De Roo Bouwbedrijf;N. Hermans;26/09/2016;Nieuwbouw;38,4
Bellamystraat;9391 JD;147;A;Tuinwijk-West;De Jong Bouwbedrijf P R;W. van Doorn;01/01/2019;Nieuwbouw;28,8
Boterstraat;7840 BN;20;;Tuindorp-Oost;BONNET AANNEMERSBEDRIJF;P. van der Wal;29/06/2015;Nieuwbouw;6,4
Koolstraat;8707 GM;28;;Nieuw Hoograven;F.W. Onrust Vastgoedonderhoud;I. Dijkstra;12/07/2018;Schuur;25,6
Belthlehemscheweg;2183 FO;108;;Papendorp;Obdeijn B.V.;D. van der Meulen;06/05/2020;Schuur;25,6
Lekstraat;6828 TR;120;;Oud Hoograven;Aannemingsbedrijf Van Driel B.V.;Y. van Vliet;11/07/2015;Schuur;35,2
Achterstraat 2e;9787 IS;84;;Hogeweide;KEMO Vochtwering;F. van Leeuwen;19/04/2019;Stal;6,4
Catharijnesteeg;6262 EK;86;;Transwijk-Zuid;Van Den Boom Bouwbedrijf BV;G. de Groot;18/04/2015;Boomkap;6,4
Korte Elisabethstraat;4178 JH;82;;Oud Hoograven;Goud Aannemers- en Bouwbedrijf C M;K. Timmermans;03/04/2015;Boomkap;28,8
Leidsche Veer;2940 ZO;52;;Hogeweide;Trienekens Bouwbedrijf B.V.;U. van der Berg;14/01/2019;Aanbouw;28,8
Bem. Weerd WZ;8777 YR;90;D;Kanaleneiland-Zuid;ITG Bedrijven;H. de Graaf;03/04/2019;Boomkap;32
Tuinstraat;2101 XV;50;;Transwijk-Noord;Bouw en Timmerbedrijf Bogaard;M. Mulder;14/04/2017;Verwijderen stal;22,4
Dahliastraat;4054 NQ;95;;Nieuw Hoograven;Van Aalsburg BV;H. van de Meer;07/06/2017;Gevelrenovatie;25,6
Schoutenstraat;1842 QB;49;;Geuzenwijk;GEBR THIJSSEN B.V.;J. van den Velde;22/04/2017;Aanbouw;6,4
Koningslaan;3234 BA;96;B;Oud Hoograven;Somass Bouwbedrijf B.V.;R. van der Ven;08/08/2017;Aanbouw;22,4
Fockstraat;3479 TH;46;D;Tuindorp-Oost;Wolbers Bouw- en Renovatiebedrijf;I. Martens;02/05/2017;Nieuwbouw;19,2
Lakmoessteeg;4560 ZC;6;;Transwijk-Zuid;Bouwbedrijf Wijngaarden;V. van der Heyden;14/08/2015;Schuur;16
Jacobskerkhof;3884 DU;121;;Bokkenbuurt;Aannemingsbedrijf Draisma B.V.;E. Hermans;10/09/2016;Gevelrenovatie;9,6
Brandsteeg;1533 QE;91;;Papendorp;Aannemingsbedrijf J vd Windt B.V.;G. Hendriks;18/08/2016;Dakkapel;28,8
Soendastraat;7915 JQ;1;;Hogeweide;Aannemersbedrijf Vogt B.V.;X. Blom;16/03/2020;Nieuwbouw;38,4
Bremstraat;7989 CL;82;D;Molenbuurt;Allround Bouw Service ;T. Sanders;10/07/2016;Aanbouw;35,2
Oranjestraat;8627 EL;93;;Tuindorp-Oost;P-bma;F. Evers;01/01/2018;Gevelrenovatie;28,8
Bokstraat;2827 OV;8;;Oudwijk;Doensen bouwbedrijf;O. Kuiper;21/01/2020;Schuur;19,2
Heiligeweg;3059 OF;113;A;Bokkenbuurt;Fischer Aannemingsbedrijf;S. Mol;09/03/2019;Aanbouw;22,4
Drift;7406 CQ;106;;Bedrijventerrein Lageweide;Oude Moleman Aannemersbedrijf;M. Groen;01/05/2016;Boomkap;9,6
Alphenplein (van);6460 GX;126;;Bloemenbuurt;Van der Heijden bouw en ontwikkeling;N. Hendriks;10/04/2018;Stal;35,2
Nieuwe Kade;2416 RO;99;;Oud Hoograven;Bouwbedrijf van der Sloot;R. de Bruin;26/03/2015;Stal;9,6
Lauwersteeg;5074 PF;70;;Lunetten-Noord;aannemer Marcel Start verbouwingen;E. van de Veen;28/09/2019;Boomkap;9,6
Soendastraat;6289 JO;65;;Rivierenwijk;Driemond Bouw B.V.;B. Meyer;14/11/2018;Verwijderen stal;28,8
A B C straat;4300 DN;99;A;Sterrenwijk;EP Bouwbedrijf;F. Jonker;04/01/2019;Schuur;25,6
Magdalenastraat;3686 NC;136;D;Tuinwijk-West;Aannemingsmaatschappij Jellema B.V.;Z. van der Meer;09/05/2015;Nieuwbouw;19,2
Teelingstraat;3965 UP;50;;Vogelenbuurt;Bouwbedrijf Wijngaarden;G. de Bruijn;23/07/2015;Nieuwbouw;32
Visschersplein;9629 JX;27;;Tuinwijk-Oost;Bouwservice ijmond v.o.f;A. van der Pol;05/09/2018;Aanbouw;12,8
Javastraat;6011 YG;20;;Tuinwijk-Oost;Van den Broek Bestratingen;G. van Beek;07/07/2018;Aanbouw;35,2
Keisteeg;1752 SO;88;;Watervogelbuurt;Reno Projecten B.V.;L. de Lange;18/09/2018;Verwijderen stal;16
Servetstraat;6092 IW;26;D;Lunetten-Noord;Bunnik Bouw IJsselstein;S. Hoekstra;04/01/2015;Boomkap;9,6
Zeilsteeg;9553 NH;106;B;Tuinwijk-Oost;Van den Heuvel;E. van den Berg;27/04/2018;Dakkapel;12,8
Daalschedijk 2e;3575 BT;98;;Hogeweide;Bestratingen J de Bie B.V.;Z. Kramer;18/06/2019;Gevelrenovatie;16
Arkenspoort;6876 UA;47;;Schildersbuurt;Aannemersbedrijf A J H Zwart B.V.;N. van den Broek;06/01/2017;Schuur;22,4
Blokstraat;4037 FK;121;C;Terwijde;Meijer-Oude Lashof Bouwbedrijf;S. Kuipers;01/07/2015;Schuur;22,4
Hoogravenschedijk;2601 QV;91;;Lombok-Oost;Wijen-Bouw B.V.;L. Vink;07/07/2016;Stal;25,6
Papaverstraat;4831 FO;116;;Oud Hoograven;Gebr De Koning B.V.;Y. Bakker;03/02/2015;Nieuwbouw;38,4
Drieharingstraat;5462 UI;60;D;Tuindorp-Oost;Prins Bouw B.V.;K. Gerritsen;25/05/2019;Boomkap;6,4
Hoogravenschedijk;1269 WX;38;;Bedrijvengebied Overvecht;Aannemersbedrijf De Bouwhorst;G. Meijer;08/11/2018;Nieuwbouw;16
Valkstraat;9999 OJ;12;;Pijlsweerd-Zuid;Kessels Aannemersbedrijf;U. van Veen;03/09/2016;Gevelrenovatie;25,6
Werfsteeg;3055 XI;94;;Kanaleneiland-Zuid;Parallelbouw B.V.;M. van den Broek;24/02/2018;Stal;25,6
Springweg;7594 KI;27;;Vogelenbuurt;completatie bouw bv;E. de Vries;20/02/2017;Boomkap;19,2
Kaatstraat;5407 CW;144;C;Kanaleneiland-Zuid;Vochtwering Benelux;C. Bos;09/02/2020;Nieuwbouw;35,2
Nicolaasstraat;9309 EW;36;;Lombok-West;Wolbers Bouw- en Renovatiebedrijf;X. Bosman;01/12/2019;Aanbouw;19,2
Sterrenburg;8291 IQ;147;;Geuzenwijk;Steigerverkoop.nl;H. Schipper;01/03/2018;Stal;25,6
Schalkwijkstraat;9672 YZ;32;;Terwijde;Wijen Bouwbedrijf T;J. Kramer;07/02/2018;Boomkap;28,8
Draaiweg;8987 AI;10;;Strijkviertel;Vochtwering FIX Vianen Injecteerbedrijf;H. van Beek;13/05/2016;Stal;38,4
Bem. Weerd WZ;6963 IW;44;;Strijkviertel;Mens-Zeist Vastgoedonderhoud B.V.;S. van Veen;28/08/2016;Dakkapel;22,4
Kanaalstraat;6583 KS;43;;Watervogelbuurt;Bouw- en Aannemingsbedrijf Van der Meer;Z. Mol;06/01/2019;Boomkap;35,2
Zandpad;3391 MP;25;;Lombok-West;Ursem Bouwgroep;N. van Dam;03/07/2017;Verwijderen stal;32
Paardesteeg;7649 HP;8;;Tuindorp-Oost;Vébé Bouw B.V.;K. de Boer;26/08/2017;Nieuwbouw;38,4
Bladstraat;9080 DO;68;B;Bedrijvengebied Overvecht;Aannemersbedrijf Wessels B.V.;G. van der Velden;01/09/2018;Nieuwbouw;16
Malakkastraat;6322 MK;50;;Schildersbuurt;AB Bouw B.V.;B. Brouwer;14/05/2016;Boomkap;6,4
Hoogravenschedijk;5209 AL;11;;Langerak;Hekkelman Gorssel Aannemersbedrijf;I. van der Velde;29/09/2017;Verwijderen stal;22,4
Oudegracht (Tolst.);5582 TA;65;;Tuindorp-Oost;Enschede Bouwbedrijf;J. van den Heuvel;29/04/2018;Aanbouw;38,4
Wijnpoort;5510 OC;72;;Zuilen-Noord;Aannemingsbedrijf Vermeulen B.V.;F. de Jong;22/11/2016;Boomkap;38,4
Braamstraat;8318 BJ;61;;Oudwijk;Heerkens van Bavel Bouw B.V.;S. Bos;20/02/2020;Verwijderen stal;6,4
Hofsteeg;6532 KZ;130;;Transwijk-Zuid;Bouwbedrijf Lok;H. de Vos;24/07/2016;Dakkapel;6,4
Soendastraat;9899 WD;30;;Schildersbuurt;Ippel Civiele Betonbouw BV;A. Jonker;26/11/2015;Aanbouw;35,2
Kerkweg;2541 LZ;53;;Pijlsweerd-Zuid;REBBouw;O. Post;16/10/2019;Aanbouw;16
Kruitstraat;6215 JG;107;;Langerak;Installatie Service Flevoland;B. Kuiper;02/07/2019;Boomkap;9,6
Hopstraat;2138 DN;68;;Pijlsweerd-Zuid;bmd bouwenmetdaadkracht;W. van de Velden;11/09/2017;Schuur;35,2
Meidoornstraat;7330 XV;4;;Tuindorp-Oost;Hemmen Bouw C.V.;O. Martens;01/09/2018;Schuur;38,4
Bekkerstraat;9583 UH;109;D;Transwijk-Zuid;De Haas Bouw en Aannemingsbedrijfj J;S. de Leeuw;05/06/2016;Verwijderen stal;9,6
Flieruilensteeg;6019 XB;46;;Tuinwijk-West;Wijen-Bouw B.V.;Y. Schipper;07/12/2016;Verwijderen stal;16
Ravensteeg;9788 FJ;113;;Kanaleneiland-Noord;Bouwbedrijf Postma Bergharen;M. van den Heuvel;04/02/2020;Dakkapel;19,2
Croeselaan;8679 FE;90;;Lunetten-Noord;VDM Woningen;Y. Meyer;28/06/2015;Gevelrenovatie;22,4
Pausdam;5948 TD;20;;Terwijde;Bouwbedrijf Ted Groot B.V.;X. Koning;25/05/2016;Aanbouw;35,2
Pieter Bothstraat;9802 FR;129;D;Schildersbuurt;Trienekens Bouwbedrijf B.V.;A. de Jong;30/04/2017;Boomkap;28,8
Lange Jansstraat;8235 RA;8;;Lunetten-Zuid;ThunnissenOnderhoud bv;V. Willems;03/02/2018;Verwijderen stal;22,4
Kromme Rijn;7689 MZ;133;;Sterrenwijk;Rooy Ehv.BV Bouwbedrijf E.van;E. Sanders;29/03/2019;Schuur;16
Jacobsgasthuissteeg;5049 XF;16;;Zuilen-Noord;Faberbouw;T. van den Bosch;21/09/2018;Schuur;16
Heerenhofje;6949 LJ;7;C;Vogelenbuurt;Steta Bouw en Interieur op maat bv;B. Verhoeven;17/07/2017;Nieuwbouw;6,4
Valkstraat;4369 XU;136;C;Tuindorp-Oost;ELBERSE BOUWBEDRIJF B.V.;D. van der Ven;15/01/2018;Schuur;28,8
Renstraat;5482 IX;120;;Papendorp;Bouwbedrijf Th. van Weert b.v.;W. de Bruijn;30/01/2015;Boomkap;22,4
Museumlaan;7623 DN;130;;Nieuw Hoograven;Albert Martinus Aannemingsbedrijf;H. van Wijk;16/01/2015;Aanbouw;28,8
Lauwerecht;5984 XI;137;B;Tuinwijk-Oost;Gebr. Backx B.V.;U. de Leeuw;10/10/2015;Nieuwbouw;6,4
Jan Houtmanstraat;1112 QB;63;;Buurtnaam;Bouwbedrijf Ponjé B.V.;B. van Veen;13/04/2020;Nieuwbouw;19,2
Hoogstraat;4294 OJ;76;;Sterrenwijk;Norbert Schwarte Bau B.V.;Q. van Leeuwen;06/03/2019;Schuur;22,4
Rozenhofje;7441 ZF;67;;Staatsliedenbuurt;Aannemingsbedrijf Project Rotterdam B.V.;R. Jansen;26/03/2015;Schuur;25,6
Merwedekade;7937 LV;96;;Lunetten-Zuid;B.A.B.S. afbouw;V. de Bruijn;02/06/2019;Schuur;35,2
Plompetorenbrug;7194 PW;39;;Hogeweide;Koers Groep BV, vestiging Leiden;H. de Bruijn;06/04/2020;Schuur;22,4
Joh. Camphuysstraat;5710 TV;40;;Oud Hoograven;Aannemersbedrijf C. van Dodewaard B.V.;C. van Doorn;08/02/2020;Schuur;22,4
Laurens Reaalstraat;7955 BN;46;;Lunetten-Noord;van Adrichem Aannemersbedrijf Mart;N. van de Berg;10/03/2020;Boomkap;28,8
Jansdam;9095 UZ;112;D;Rivierenwijk;P-bma;G. Jacobs;09/03/2016;Gevelrenovatie;28,8
Gruttersdijk;8425 UF;99;;Pijlsweerd-Zuid;Schipper&Paaimans Bouwgroep;H. de Boer;26/12/2016;Aanbouw;19,2
Alphenstraat (van);9502 ZP;148;;Staatsliedenbuurt;Bouwbedrijf Visser BV;K. van der Velde;04/08/2017;Verwijderen stal;19,2
Domplein;5919 KE;80;D;Tuinwijk-West;Archangel Bouw B.V.;X. Koster;18/05/2020;Boomkap;6,4
Nathanaëlspoort;7914 BP;64;;Geuzenwijk;Van Berkel Aannemers Leimuiden BV;Z. Vermeulen;02/10/2017;Dakkapel;22,4
Lakmoessteeg;2010 BG;43;;Buurtnaam;E de Boer & Zn Aannemersbedrijf B.V.;V. van der Laan;10/08/2017;Verwijderen stal;9,6
Schoolplein;1839 DQ;61;;Bokkenbuurt;Bouwbureau Sjaak Fieman;V. de Jonge;07/11/2017;Gevelrenovatie;28,8
Lange Jansstraat;2819 ZV;104;;Pijlsweerd-Zuid;De BEER bouwbedrijf;G. Hermans;14/10/2015;Nieuwbouw;12,8
Runnebaan;9531 VE;105;A;Transwijk-Zuid;Broers Bouwbedrijf;Z. van den Berg;16/05/2020;Stal;6,4
Hardebollenstraat;8908 WM;68;D;Dichterswijk;ASK-Romein B.V.;F. van der Meer;18/08/2019;Gevelrenovatie;35,2
Manenburg;2105 BY;33;;Watervogelbuurt;Greven Bouwonderneming;Q. Timmermans;26/08/2017;Gevelrenovatie;35,2
Jagerskade;4056 CQ;22;;Hogeweide;Warmes Aannemersbedrijf B.V.;L. van den Heuvel;02/05/2017;Schuur;28,8
Merwedekade;5680 QG;65;;Hogeweide;Klussenbedrijf Veran;O. van den Broek;13/02/2015;Gevelrenovatie;16
Plompetorenbrug;9235 LN;45;A;Staatsliedenbuurt;completatie bouw bv;Z. Bosch;17/01/2015;Schuur;35,2
Putsteeg;9934 DJ;119;;Transwijk-Zuid;Bouwbedrijf Geers B.V.;J. van der Wal;14/02/2018;Boomkap;25,6
Damstraat;7778 TO;124;;Vogelenbuurt;Hemmen Bouw C.V.;J. Koster;13/05/2016;Boomkap;35,2
Wijckstraat (van);4376 VX;95;;Oud Hoograven;PHB Deventer B.V.;V. Brouwer;02/04/2016;Boomkap;35,2
Doornstraat;5361 GB;50;;Kanaleneiland-Zuid;Davelaar Bouwbedrijf B.V.;F. van der Berg;15/07/2015;Verwijderen stal;16
Jodenrijtje;8757 CJ;66;;Transwijk-Zuid;UDB Bouwservice;P. Visser;13/09/2018;Gevelrenovatie;12,8
Lombardpoort;1335 JZ;81;;Tuinwijk-Oost;Sanders afbouw VOF;I. Schouten;27/11/2018;Gevelrenovatie;9,6
Rijndijk;9013 NH;18;;Schildersbuurt;Vios Bouw en Onderhoud Amsterdam B.V.;I. de Graaf;01/11/2015;Stal;38,4
Amaliadwarsstraat;2458 LS;65;D;Rivierenwijk;Vergeer Reeuwijk B.V.;V. Sanders;13/07/2017;Gevelrenovatie;19,2
Jacobskerkstraat;3846 TT;61;D;Lunetten-Zuid;JK Bouwservice;P. van Dongen;20/12/2019;Boomkap;38,4
Kruisdwarsstraat;8818 OG;5;A;Tuinwijk-West;Bouwbedrijf van Grootveld B.V.;Q. Peeters;01/05/2016;Boomkap;9,6
Zilverbergpoort;8986 QH;54;;Tweede Daalsebuurt en omgeving;Vochtwering FIX Vianen Injecteerbedrijf;J. Schouten;07/12/2018;Verwijderen stal;19,2
Leliestraat;1272 KG;21;;Zuilen-Noord;Reimerswaal Aannemingsbedrijf;L. Evers;12/12/2017;Verwijderen stal;12,8
Kruisstraat;5874 XQ;84;;Sterrenwijk;Bakels en Ouwerkerk Bouwgroep;B. Kramer;03/07/2015;Nieuwbouw;12,8
Boothstraat;3656 GZ;109;C;Pijlsweerd-Noord;Koers Bouw;E. Willems;18/05/2015;Schuur;22,4
Schaapstraat;1644 XT;3;D;Geuzenwijk;Aannemersbedrijf - Renova Twente Bouw;E. Koster;26/10/2019;Dakkapel;25,6
Beekstraat;8295 AY;135;;Watervogelbuurt;Aannemingsbedrijf Tibben Marienheem BV;F. Molenaar;30/04/2017;Stal;32
Minkade;5261 BF;91;C;Lunetten-Noord;Aannemersbedrijf van der Woude bv;B. Willemsen;21/06/2015;Stal;22,4
Bankastraat;7101 FH;26;A;Bedrijventerrein Lageweide;Bouwservice Correct Limburg;R. Hoekstra;13/04/2016;Aanbouw;28,8
Grietstraat;6674 CG;31;B;Pijlsweerd-Noord;Bouwpartners B.V.;S. Driessen;13/02/2015;Verwijderen stal;38,4
Jacobspoort;7806 JY;69;D;Buurtnaam;H de Boer B.V.;P. van de Ven;18/03/2018;Verwijderen stal;12,8
Lange Koestraat;4381 RF;62;A;Kanaleneiland-Zuid;T yankah TimmerBedrijf;P. van den Velde;02/03/2020;Aanbouw;6,4
Stationsplein;7494 WL;38;B;Buurtnaam;Heijneman Bouw B.V.;L. Post;08/04/2015;Schuur;25,6
Doornboomstraat;1970 DQ;104;;Transwijk-Zuid;Kessels Aannemersbedrijf;M. de Haan;08/01/2016;Gevelrenovatie;16
Domtoren;8743 KE;52;;Lombok-West;E de Boer & Zn Aannemersbedrijf B.V.;H. Koster;04/08/2018;Verwijderen stal;9,6
Kwakkeldijk;1419 SW;107;;Molenbuurt;Aannemersbedrijf A J H Zwart B.V.;J. Willemsen;30/01/2020;Nieuwbouw;6,4
Floris Heermalestraat;4626 TO;1;;Bokkenbuurt;Aannemersbedrijf de Bouwmeesters.net;Q. Vermeulen;16/05/2016;Dakkapel;25,6
Mariaplaats;7278 MV;35;;Watervogelbuurt;Total Concept Builders;Y. van de Pol;30/01/2017;Boomkap;28,8
Violenstraat;8367 ZD;87;C;Kanaleneiland-Noord;Aannemingsmaatschappij Jellema B.V.;J. Veenstra;17/01/2017;Stal;22,4
Hofje van Zessen;3345 YG;118;;Lunetten-Zuid;Oosterbroek Cor Bouwbedrijf B.V.;F. de Bruin;24/01/2019;Verwijderen stal;32
Roodepoort;5090 WZ;10;D;Geuzenwijk;Beens Groep Aannemer Weg en Waterbouw;Y. van der Heyden;23/12/2018;Aanbouw;16
Hoog Glagenweerd;9150 EG;111;;Papendorp;Pellikaan Bouw;Z. de Boer;26/07/2018;Dakkapel;32
Westravenstraat;1263 BV;106;;Staatsliedenbuurt;Senso Gietvloeren Rotterdam;B. Kramer;17/09/2016;Aanbouw;16
Leidsche Weg;8190 JR;63;;Molenbuurt;Klussenbedrijf Ko Mes;L. de Jong;29/01/2019;Schuur;22,4
Kruisweg;6683 OT;51;;Oudwijk;Aannemersbedrijf Lagerberg BV;Z. Jonker;07/03/2018;Boomkap;38,4
Leistraat;5844 FL;27;;Bloemenbuurt;Aannemingsbedrijf Tibben Marienheem BV;C. Driessen;14/03/2016;Aanbouw;9,6
Manenburg;5878 MO;99;;Lombok-Oost;H de Boer B.V.;R. Postma;09/09/2018;Aanbouw;32
Jan Pietersz. Koenstraat;1858 WT;32;;Watervogelbuurt;P-bma;L. Timmermans;25/02/2017;Verwijderen stal;28,8
